Var1,Var2,Var3,Var4,Var5,Var6,Var7
18-Apr-2008,0,0,2697,55,0.0203930292918057,0
19-Apr-2008,1,1,2872,29,0.0100974930362117,2872
20-Apr-2008,1,2,2615,40,0.0152963671128107,2615
21-Apr-2008,1,3,2586,53,0.0204949729311678,2586
22-Apr-2008,1,4,2334,123,0.0526992287917738,2334
23-Apr-2008,1,5,2074,100,0.0482160077145612,2074
24-Apr-2008,1,6,2202,141,0.0640326975476839,2202
25-Apr-2008,1,7,2100,158,0.0752380952380952,2100
26-Apr-2008,1,8,2131,160,0.0750821210699202,2131
27-Apr-2008,1,9,2107,208,0.098718557190318,2107
28-Apr-2008,1,10,2088,206,0.0986590038314176,2088
29-Apr-2008,1,11,2078,206,0.0991337824831569,2078
30-Apr-2008,1,12,2052,228,0.111111111111111,2052
01-May-2008,1,13,2020,224,0.110891089108911,2020
02-May-2008,1,14,2003,223,0.111333000499251,2003
03-May-2008,1,15,1984,220,0.110887096774194,1984
06-May-2008,3,18,1903,211,0.110877561744614,5709
09-May-2008,3,21,1854,253,0.136461704422869,5562
12-May-2008,3,24,1804,294,0.162971175166297,5412
21-May-2008,9,33,1662,316,0.190132370637786,14958
22-May-2008,1,34,1658,316,0.19059107358263,1658
23-May-2008,1,35,1657,318,0.191913095956548,1657
24-May-2008,1,36,1655,315,0.190332326283988,1655
08-Jun-2008,15,51,1614,307,0.190210656753408,24210
09-Jun-2008,1,52,1571,345,0.219605346912794,1571
12-Jun-2008,3,55,1609,306,0.190180236171535,4827
14-Jun-2008,2,57,1454,459,0.315680880330124,2908
22-Jun-2008,8,65,1480,370,0.25,11840
29-Jun-2008,7,72,1415,354,0.25017667844523,9905
07-Jul-2008,8,80,1353,382,0.282335550628234,10824
10-Jul-2008,3,83,1343,379,0.282204020848846,4029
14-Aug-2008,35,118,1292,503,0.389318885448916,45220
18-Aug-2008,4,122,1276,496,0.38871473354232,5104
20-Aug-2008,2,124,1159,497,0.428817946505608,2318
26-Aug-2008,6,130,1081,463,0.428307123034228,6486
09-Sep-2008,14,144,907,389,0.428886438809261,12698
10-Sep-2008,1,145,971,457,0.470648815653965,971
11-Sep-2008,1,146,938,483,0.514925373134328,938
13-Sep-2008,2,148,902,465,0.515521064301552,1804
22-Sep-2008,9,157,739,381,0.515561569688769,6651
23-Sep-2008,1,158,606,312,0.514851485148515,606
26-Sep-2008,3,161,726,374,0.515151515151515,2178
17-Oct-2008,21,182,502,283,0.563745019920319,10542
21-Oct-2008,4,186,483,322,0.666666666666667,1932
24-Oct-2008,3,189,471,314,0.666666666666667,1413
06-Nov-2008,13,202,20,21,1.05,260
10-Nov-2008,4,206,233,156,0.669527896995708,932
16-Nov-2008,6,212,346,319,0.921965317919075,2076
18-Nov-2008,2,214,421,388,0.921615201900237,842
20-Nov-2008,2,216,422,390,0.924170616113744,844
21-Nov-2008,1,217,424,391,0.922169811320755,424
30-Nov-2008,9,226,413,381,0.922518159806295,3717
14-Jan-2009,45,271,445,395,0.887640449438202,20025
17-Jan-2009,3,274,425,393,0.924705882352941,1275
28-Mar-2009,70,344,81,75,0.925925925925926,5670
29-Mar-2009,1,345,229,212,0.925764192139738,229
31-Mar-2009,2,347,266,245,0.921052631578947,532
01-Apr-2009,1,348,265,245,0.924528301886792,265
02-Apr-2009,1,349,268,247,0.921641791044776,268
09-Apr-2009,7,356,262,241,0.919847328244275,1834
12-Apr-2009,3,359,276,255,0.923913043478261,828
17-Apr-2009,5,364,268,290,1.08208955223881,1340
29-Apr-2009,12,376,246,312,1.26829268292683,2952
07-May-2009,8,384,54,486,9,432
02-Aug-2010,452,836,38,502,13.2105263157895,17176
01-Apr-2017,2434,3270,18,1408,78.2222222222222,43812
15-Apr-2017,14,3284,30,2347,78.2333333333333,420
05-May-2017,20,3304,29,2260,77.9310344827586,580
12-May-2017,7,3311,20,1531,76.55,140
18-May-2017,6,3317,29,2234,77.0344827586207,174
23-May-2017,5,3322,29,2228,76.8275862068966,145
28-May-2017,5,3327,143,2140,14.965034965035,715
30-May-2017,2,3329,148,2216,14.972972972973,296
01-Jun-2017,2,3331,148,2213,14.9527027027027,296
03-Jun-2017,2,3333,148,2215,14.9662162162162,296
08-Jun-2017,5,3338,149,2220,14.8993288590604,745
11-Jun-2017,3,3341,149,2222,14.9127516778523,447
15-Jun-2017,4,3345,150,2233,14.8866666666667,600
20-Jun-2017,5,3350,146,2181,14.9383561643836,730
05-Jul-2017,15,3365,145,2157,14.8758620689655,2175
23-Jul-2017,18,3383,145,2163,14.9172413793103,2610
28-Aug-2017,36,3419,146,2164,14.8219178082192,5256
03-Oct-2017,36,3455,146,2167,14.8424657534247,5256
29-Oct-2017,26,3481,146,2179,14.9246575342466,3796
08-Nov-2017,10,3491,146,2182,14.9452054794521,1460
17-Dec-2017,39,3530,147,2189,14.891156462585,5733
29-Dec-2017,12,3542,147,2193,14.9183673469388,1764
28-Jan-2018,30,3572,147,2197,14.9455782312925,4410
04-Mar-2018,35,3607,148,2209,14.9256756756757,5180
25-Mar-2018,21,3628,137,2227,16.2554744525547,2877
03-Apr-2018,9,3637,149,2211,14.8389261744966,1341
23-Apr-2018,20,3657,149,2217,14.8791946308725,2980
30-Apr-2018,7,3664,149,2214,14.8590604026846,1043
09-May-2018,9,3673,148,2217,14.9797297297297,1332
17-May-2018,8,3681,148,2218,14.9864864864865,1184
25-Jun-2018,39,3720,150,2224,14.8266666666667,5850
09-Jul-2018,14,3734,149,2229,14.9597315436242,2086
19-Jul-2018,10,3744,150,2229,14.86,1500
02-Aug-2018,14,3758,149,2230,14.9664429530201,2086
11-Aug-2018,9,3767,149,2232,14.9798657718121,1341
19-Aug-2018,8,3775,151,2249,14.8940397350993,1208
29-Aug-2018,10,3785,151,2253,14.9205298013245,1510
07-Sep-2018,9,3794,151,2254,14.9271523178808,1359
23-Sep-2018,16,3810,152,2264,14.8947368421053,2432
11-Oct-2018,18,3828,151,2260,14.9668874172185,2718
19-Oct-2018,8,3836,151,2261,14.9735099337748,1208
29-Oct-2018,10,3846,152,2265,14.9013157894737,1520
05-Nov-2018,7,3853,151,2263,14.9867549668874,1057
13-Nov-2018,8,3861,152,2264,14.8947368421053,1216
22-Nov-2018,9,3870,152,2265,14.9013157894737,1368
02-Dec-2018,10,3880,0,2307,0,0
03-Dec-2018,1,3881,0,2355,0,0
04-Dec-2018,1,3882,89,2268,25.4831460674157,89
05-Dec-2018,1,3883,149,2228,14.9530201342282,149
06-Dec-2018,1,3884,148,2213,14.9527027027027,148
07-Dec-2018,1,3885,148,2202,14.8783783783784,148
08-Dec-2018,1,3886,147,2201,14.9727891156463,147
07-Jan-2019,30,3916,144,2145,14.8958333333333,4320
25-Jan-2019,18,3934,140,2081,14.8642857142857,2520
03-Feb-2019,9,3943,144,2151,14.9375,1296
09-Feb-2019,6,3949,144,2153,14.9513888888889,864
16-Feb-2019,7,3956,143,2131,14.9020979020979,1001
26-Feb-2019,10,3966,144,2147,14.9097222222222,1440
02-Mar-2019,4,3970,144,2147,14.9097222222222,576
14-Mar-2019,12,3982,143,2144,14.993006993007,1716
22-Mar-2019,8,3990,143,2142,14.979020979021,1144
